Protein.Group	Protein.Names	Genes	First.Protein.Description	20260211_008_C41079_S1100213_Beads2_Group_2.mzML	20260211_007_C41079_S1100211_NosH3_Group_1.mzML	20260211_005_C41079_S1100214_Beads3_Group_2.mzML	20260211_004_C41079_S1100210_NosH2_Group_1.mzML	20260211_003_C41079_S1100209_NosH1_Group_1.mzML	20260211_002_C41079_S1100212_Beads1_Group_2.mzML
A0A068TV19;A0A068ULE2;A0A068TLY0	A0A068TLY0_COFCA;A0A068TV19_COFCA;A0A068ULE2_COFCA	GSCOC_T00014146001;GSCOC_T00028243001;GSCOC_T00029890001	Triosephosphate isomerase	175307	317324	574541	680164	245222	409494
A0A068TV90	A0A068TV90_COFCA	GSCOC_T00032018001	Enoyl reductase (ER) domain-containing protein	465263	750319		1.52611e+06	812787	
A0A068TVC2	A0A068TVC2_COFCA	GSCOC_T00016269001	60S ribosomal protein L23		26623.8	52350.8	133991	113578	230098
A0A068TVD8	A0A068TVD8_COFCA	GSCOC_T00032046001	spermidine synthase	14899.7	41303.1	20443.8	41872.6	42854.9	12655.4
A0A068TVH6;A0A068UAS5;A0A068UJF7;A0A068UKD5;A0A068VL07	A0A068TVH6_COFCA;A0A068UAS5_COFCA;A0A068UJF7_COFCA;A0A068UKD5_COFCA;A0A068VL07_COFCA	GSCOC_T00004241001;GSCOC_T00020403001;GSCOC_T00027164001;GSCOC_T00028168001;GSCOC_T00029825001	Uncharacterized protein	78453.4	93854.1	202085	74700.6	84511.3	68354.3
A0A068TVU0	A0A068TVU0_COFCA	GSCOC_T00029951001	Mitochondrial glycoprotein	399586	255779	393396	313694	166207	425458
A0A068TW68	A0A068TW68_COFCA	GSCOC_T00032523001	Uncharacterized protein	533459	579079	520393			478374
A0A068TWH4	A0A068TWH4_COFCA	GSCOC_T00032657001	cysteine--tRNA ligase	224883	176133	219965	258779	205853	226240
A0A068TWH4;A0A068UZ65	A0A068TWH4_COFCA;A0A068UZ65_COFCA	GSCOC_T00032657001;GSCOC_T00038528001	cysteine--tRNA ligase				259593	1.30259e+06	1.62708e+06
A0A068TWQ2	A0A068TWQ2_COFCA	GSCOC_T00032315001	Eukaryotic translation initiation factor 5A	2.01652e+06	1.74313e+06	1.90148e+06	1.92592e+06	1.92568e+06	2.18e+06
A0A068TWQ2;A0A068UPM0	A0A068TWQ2_COFCA;A0A068UPM0_COFCA	GSCOC_T00030887001;GSCOC_T00032315001	Eukaryotic translation initiation factor 5A	529967	568826	557660	587945	544957	547317
A0A068TX69;A0A068V172;A0A068V999	A0A068TX69_COFCA;A0A068V172_COFCA;A0A068V999_COFCA	GSCOC_T00018516001;GSCOC_T00034335001;GSCOC_T00040607001	Small ribosomal subunit protein uS7 domain-containing protein	117569		122772	1.25588e+06	1.19347e+06	111242
A0A068TXC1	A0A068TXC1_COFCA	GSCOC_T00034422001	Phosphoglycerate mutase-like protein 1						145900
A0A068TXH8	A0A068TXH8_COFCA	GSCOC_T00032623001	Large ribosomal subunit protein uL15/eL18 domain-containing protein	393881	1.96592e+06		1.51758e+06	1.66739e+06	714469
A0A068TXJ0	A0A068TXJ0_COFCA	GSCOC_T00029858001	Uncharacterized protein		224670		297232	348614	
A0A068TXJ0;A0A068UKG5	A0A068TXJ0_COFCA;A0A068UKG5_COFCA	GSCOC_T00028216001;GSCOC_T00029858001	Uncharacterized protein		242442	130561	927785	330153	
A0A068TXJ0;A0A068UKG5;A0A068UKG2	A0A068TXJ0_COFCA;A0A068UKG2_COFCA;A0A068UKG5_COFCA	GSCOC_T00028209001;GSCOC_T00028216001;GSCOC_T00029858001	Uncharacterized protein	204582	780539	160784	885500	775691	153539
A0A068TXJ0;A0A068UKG5;A0A068UKG2;A0A068TVU9	A0A068TVU9_COFCA;A0A068TXJ0_COFCA;A0A068UKG2_COFCA;A0A068UKG5_COFCA	GSCOC_T00028209001;GSCOC_T00028216001;GSCOC_T00029858001;GSCOC_T00029868001	Uncharacterized protein	604983	703871	1.09117e+06	1.1524e+06	744344	783572
A0A068TXJ0;A0A068UKG5;A0A068UKG2;A0A068U8Z8	A0A068TXJ0_COFCA;A0A068U8Z8_COFCA;A0A068UKG2_COFCA;A0A068UKG5_COFCA	GSCOC_T00019945001;GSCOC_T00028209001;GSCOC_T00028216001;GSCOC_T00029858001	Uncharacterized protein	1.86541e+06	3.81818e+06	1.92444e+06	5.46353e+06	4.90826e+06	2.10901e+06
A0A068TXJ8	A0A068TXJ8_COFCA	GSCOC_T00032828001	nicotinate-nucleotide diphosphorylase (carboxylating)	23254.5			25594.6		55518
A0A068TXK9	A0A068TXK9_COFCA	GSCOC_T00029878001	Actin	7021.47	28533.7		25188.3	20780.4	
A0A068TXM4	A0A068TXM4_COFCA	GSCOC_T00032885001	Bet v I/Major latex protein domain-containing protein	118794			130957		75130.4
A0A068TXV8;A0A068UBQ0;A0A068VBM4	A0A068TXV8_COFCA;A0A068UBQ0_COFCA;A0A068VBM4_COFCA	GSCOC_T00004995001;GSCOC_T00020755001;GSCOC_T00032800001	Uncharacterized protein				27036.1		
A0A068TXW8	A0A068TXW8_COFCA	GSCOC_T00032819001	Plastocyanin-like domain-containing protein	171943	231180	165920	241167	285862	202443
A0A068TXW8;A0A068TQZ6	A0A068TQZ6_COFCA;A0A068TXW8_COFCA	GSCOC_T00022445001;GSCOC_T00032819001	Plastocyanin-like domain-containing protein	342790	234033	340948	60784.2	116904	400311
A0A068TY01	A0A068TY01_COFCA	GSCOC_T00032887001	Bet v I/Major latex protein domain-containing protein	1.11922e+06	754476	1.2543e+06	936421	778146	1.23607e+06
A0A068TY12	A0A068TY12_COFCA	GSCOC_T00032908001	phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	853743	1.45516e+06	828888	1.25005e+06	1.20337e+06	897496
A0A068TY12;A0A068V6X8	A0A068TY12_COFCA;A0A068V6X8_COFCA	GSCOC_T00018063001;GSCOC_T00032908001	phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	110757	100508	105359	127035	117058	110075
A0A068TYG8	A0A068TYG8_COFCA	GSCOC_T00034451001	Tubulin alpha chain	1.64942e+06	1.32411e+06	2.33666e+06	3.61785e+06	4.57066e+06	1.10447e+07
A0A068TYV2	A0A068TYV2_COFCA	GSCOC_T00036503001	Asparagine synthetase [glutamine-hydrolyzing]	27867.6		21916.9	32768.9		29760
A0A068TYV2;A0A068TPQ8;A0A068UL30	A0A068TPQ8_COFCA;A0A068TYV2_COFCA;A0A068UL30_COFCA	GSCOC_T00022213001;GSCOC_T00028440001;GSCOC_T00036503001	Uncharacterized protein	204373	414616				391527
A0A068TYV4	A0A068TYV4_COFCA	GSCOC_T00034619001	Thylakoid lumenal 29 kDa protein, chloroplastic	850299	1.14487e+07	804355	1.12796e+07	1.03988e+07	778551
A0A068TYX8;A0A068USU6	A0A068TYX8_COFCA;A0A068USU6_COFCA	GSCOC_T00024694001;GSCOC_T00025071001	Histone H3	3.93258e+07	3.9631e+07	3.08083e+07	4.35248e+07	3.55191e+07	3.09019e+07
A0A068TZ12	A0A068TZ12_COFCA	GSCOC_T00036581001	14-3-3 domain-containing protein	410081	578250	506620	771920	638902	419111
A0A068TZ47	A0A068TZ47_COFCA	PFK	ATP-dependent 6-phosphofructokinase	334935	150873	230265	224965	229007	780244
A0A068TZ52	A0A068TZ52_COFCA	GSCOC_T00036633001	Cyanobacterial aminoacyl-tRNA synthetase CAAD domain-containing protein	56154.7	49673.2		218942	34130.2	12794.9
